"","feature1","feature2","OrganizationIdentifier.x","OrganizationFormalName.x","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName.x","OrganizationIdentifier.y","OrganizationFormalName.y","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName.y","StName","Year","Month","Duplicated","dtec_condition","dt_Missing","u_Missing","Missing","ActivityMediaSubdivisionName2","ResultMeasure.MeasureUnitCode2","ProviderName.x2","ResultSampleFractionText2","ResultAnalyticalMethod.MethodName2"
"1","ID","Metolachlor","USGS-ID","USGS Idaho Water Science Center","nwisid.01.01700669","Sample-Routine","Water","Surface Water","2017-06-28","15:14:00","MDT","","","",NA,"","",NA,"",NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-13092747","","","Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-81 with Teflon cap and nozzle","","Dissolved",0.005,"ug/l","","Accepted",NA,"Estimated","",NA,NA,"",NA,"The E remark code was added at the discretion of the analyst.",39415,NA,NA,NA,NA,NA,"GCM35","USGS","Pest, high use, SPE, GCMS-SIM","USGS OF 95-181","USGS-National Water Quality Lab, Denver, CO","2017-10-08","below the detection levelsee result comment","Laboratory Reporting Level",0.012,"ug/l","2017-07-03","NWIS","USGS-ID","USGS Idaho Water Science Center","ROCK CREEK AB HWY 30/93 XING AT TWIN FALLS ID","Stream","",17040212,259,"sq mi",NA,"",42.5625,-114.4947222,24000,"1","seconds","Interpolated from MAP.","NAD83",3630,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",16,83,"","","",NA,NA,"",NA,"","NWIS","Idaho","2017",6,"No","D","No","No","No","Surface Water","ug/l","NWIS","Dissolved","Pest, high use, SPE, GCMS-SIM"
"2","ID","Metolachlor","USGS-ID","USGS Idaho Water Science Center","nwisid.01.01700772","Quality Control Sample-Field Replicate","Water","Surface Water","2017-08-07","14:40:00","MDT","","","",NA,"","",NA,"",NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-13092747","MM-52321A","","Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-81","","Dissolved",2.7,"ng/l","","Accepted",NA,"Actual","",NA,NA,"",NA,"",65090,NA,NA,NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-08-17","below the detection level","",NA,"","2017-08-14","NWIS","USGS-ID","USGS Idaho Water Science Center","ROCK CREEK AB HWY 30/93 XING AT TWIN FALLS ID","Stream","",17040212,259,"sq mi",NA,"",42.5625,-114.4947222,24000,"1","seconds","Interpolated from MAP.","NAD83",3630,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",16,83,"","","",NA,NA,"",NA,"","NWIS","Idaho","2017",8,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"3","ID","Metolachlor","USGS-ID","USGS Idaho Water Science Center","nwisid.01.01800562","Sample-Routine","Water","Surface Water","2018-05-08","08:00:00","MDT","","","",NA,"","",NA,"",NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-13092747","MM-54358A","","Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-81","","Dissolved",5.3,"ng/l","","Accepted",NA,"Actual","",NA,NA,"",NA,"",65090,NA,NA,NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2018-05-16","below the reporting level but at or above the detection level","",NA,"","2018-05-14","NWIS","USGS-ID","USGS Idaho Water Science Center","ROCK CREEK AB HWY 30/93 XING AT TWIN FALLS ID","Stream","",17040212,259,"sq mi",NA,"",42.5625,-114.4947222,24000,"1","seconds","Interpolated from MAP.","NAD83",3630,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",16,83,"","","",NA,NA,"",NA,"","NWIS","Idaho","2018",5,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"4","ID","Metolachlor","USGS-ID","USGS Idaho Water Science Center","nwisid.01.01800690","Sample-Routine","Water","Surface Water","2018-06-05","08:10:00","MDT","","","",NA,"","",NA,"",NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-13092747","L-1570100 Discarded cooler - leaking. Updated Date from 5/6/18 per M. Allen. JPC 6/11/18","","Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-81","","Dissolved",5,"ng/l","","Accepted",NA,"Actual","",NA,NA,"",NA,"",65090,NA,NA,NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2018-06-12","below the reporting level but at or above the detection level","",NA,"","2018-06-11","NWIS","USGS-ID","USGS Idaho Water Science Center","ROCK CREEK AB HWY 30/93 XING AT TWIN FALLS ID","Stream","",17040212,259,"sq mi",NA,"",42.5625,-114.4947222,24000,"1","seconds","Interpolated from MAP.","NAD83",3630,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",16,83,"","","",NA,NA,"",NA,"","NWIS","Idaho","2018",6,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"5","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700151","Sample-Routine","Water","Surface Water","2017-01-18","11:00:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-394340085524601","MM-50237A","","Stable, high stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-95 Teflon bottle","","Dissolved",38,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-01-24","","",NA,"","2017-01-23","NWIS","USGS-IN","USGS Indiana Water Science Center","SUGAR CREEK AT CO RD 400 S AT NEW PALESTINE, IN","Stream","",5120204,92.6,"sq mi",NA,"",39.7278214,-85.8794246,24000,"1","seconds","Interpolated from MAP.","NAD83",794,"feet",3,"feet","Interpolated from topographic map.","NGVD29","US",18,59,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",1,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"6","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700212","Sample-Routine","Water","Surface Water","2017-03-08","11:30:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-394340085524601","MM-50845A","","Rising stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-95 Teflon bottle","","Dissolved",25.4,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-03-16","","",NA,"","2017-03-14","NWIS","USGS-IN","USGS Indiana Water Science Center","SUGAR CREEK AT CO RD 400 S AT NEW PALESTINE, IN","Stream","",5120204,92.6,"sq mi",NA,"",39.7278214,-85.8794246,24000,"1","seconds","Interpolated from MAP.","NAD83",794,"feet",3,"feet","Interpolated from topographic map.","NGVD29","US",18,59,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",3,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"7","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700223","Sample-Routine","Water","Surface Water","2017-03-22","08:50:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-394340085524601","MM-50847A","","Falling stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-95 Teflon bottle","","Dissolved",26.1,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-03-29","","",NA,"","2017-03-27","NWIS","USGS-IN","USGS Indiana Water Science Center","SUGAR CREEK AT CO RD 400 S AT NEW PALESTINE, IN","Stream","",5120204,92.6,"sq mi",NA,"",39.7278214,-85.8794246,24000,"1","seconds","Interpolated from MAP.","NAD83",794,"feet",3,"feet","Interpolated from topographic map.","NGVD29","US",18,59,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",3,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"8","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700240","Sample-Routine","Water","Surface Water","2017-04-05","08:30:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-394340085524601","MM-50848A","","Falling stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-95 Teflon bottle","","Dissolved",21.9,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-04-15","","",NA,"","2017-04-14","NWIS","USGS-IN","USGS Indiana Water Science Center","SUGAR CREEK AT CO RD 400 S AT NEW PALESTINE, IN","Stream","",5120204,92.6,"sq mi",NA,"",39.7278214,-85.8794246,24000,"1","seconds","Interpolated from MAP.","NAD83",794,"feet",3,"feet","Interpolated from topographic map.","NGVD29","US",18,59,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",4,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"9","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700301","Sample-Routine","Water","Surface Water","2017-04-20","09:20:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-394340085524601","MM-50849A","","Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-81 with Teflon cap and nozzle","","Dissolved",22.6,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-05-01","","",NA,"","2017-04-28","NWIS","USGS-IN","USGS Indiana Water Science Center","SUGAR CREEK AT CO RD 400 S AT NEW PALESTINE, IN","Stream","",5120204,92.6,"sq mi",NA,"",39.7278214,-85.8794246,24000,"1","seconds","Interpolated from MAP.","NAD83",794,"feet",3,"feet","Interpolated from topographic map.","NGVD29","US",18,59,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",4,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"10","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700324","Quality Control Sample-Field Replicate","Water","Surface Water","2017-05-04","11:00:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-394340085524601","MM-50850A","","Rising stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 Teflon bottle","","Dissolved",3090,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-05-16","","",NA,"","2017-05-15","NWIS","USGS-IN","USGS Indiana Water Science Center","SUGAR CREEK AT CO RD 400 S AT NEW PALESTINE, IN","Stream","",5120204,92.6,"sq mi",NA,"",39.7278214,-85.8794246,24000,"1","seconds","Interpolated from MAP.","NAD83",794,"feet",3,"feet","Interpolated from topographic map.","NGVD29","US",18,59,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",5,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
